id,nome,logo,local,categoria,taxa,minimo
cc30c60f-941e-4b5a-b5b0-7b2475001ed8,Açai Oos,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/cc30c60f-941e-4b5a-b5b0-7b2475001ed8/202106072203_8wjN_i.jpg,natal-rn,Açaí,13.49,10.0
9a8fcf90-dac4-4b90-8619-0562858066ff,Açaí do Cariri,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/9a8fcf90-dac4-4b90-8619-0562858066ff/202007091903_WZ9n_i.jpg,parnamirim-rn,Açaí,11.49,10.0
d81e28ac-0d54-4bef-b129-87edd5bb6561,Olha o Pastel,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/d81e28ac-0d54-4bef-b129-87edd5bb6561/202012251942_MJWj_i.png,parnamirim-rn,Pastel,7.49,10.0
540d6b40-18f5-404e-89e6-0fd9255fe412,Pizzaria a Portuguesa Delivery,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/540d6b40-18f5-404e-89e6-0fd9255fe412/202105041845_ZNRs_i.jpg,natal-rn,Pizza,9.0,0.0
fa5cd0bc-992e-4062-815a-a62515c559b4,Dedo de Moça,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/201910181849_fa5cd0bc-992e-4062-815a-a62515c559b4.png,natal-rn,Doces & Bolos,6.99,20.0
d9f5920a-2118-40e7-9f15-3e4807c57b4c,Burgercue Natal,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/d9f5920a-2118-40e7-9f15-3e4807c57b4c/202105041139_Kq1v_.jpeg,natal-rn,Hambúrguer,10.49,20.0
9e0d8cfc-075e-442e-9d8d-256e9f3fad0e,Espaço Cozinha Ecologica,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/9e0d8cfc-075e-442e-9d8d-256e9f3fad0e/201910111621_0pij_i.jpg,natal-rn,Vegana,11.9,10.0
ad9c1ff0-7762-4b14-b50c-2ac00cf1d9dd,Total Bebidas,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/ad9c1ff0-7762-4b14-b50c-2ac00cf1d9dd/202001241217_yBo9_i.jpg,parnamirim-rn,Bebidas,10.0,20.0
c344b9cb-0150-458f-8d31-f4ee3746f635,Supremo Açaí - NP,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/c344b9cb-0150-458f-8d31-f4ee3746f635/202108031650_v7EW_i.jpg,parnamirim-rn,Açaí,13.99,15.0
9eaeeef1-bf99-450d-9aae-f9aba9bf5db8,Bebidas Natal,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/9eaeeef1-bf99-450d-9aae-f9aba9bf5db8/202004082137_Rh4Y_i.jpg,natal-rn,Bebidas,10.0,5.0
5c84c626-21e3-460a-9ae0-78b891a582ff,Mundo do Açai,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/5c84c626-21e3-460a-9ae0-78b891a582ff/202106081931_mptS_i.jpg,natal-rn,Açaí,5.49,10.0
8a061991-4af0-4ea8-9071-a59cd4a7729f,A Marmitaria,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/8a061991-4af0-4ea8-9071-a59cd4a7729f/202004121712_c0BB_i.png,natal-rn,Marmita,6.49,10.0
303a35c6-da9a-4934-bff6-77a482b5f152,Açaí do Gato Mestre,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/303a35c6-da9a-4934-bff6-77a482b5f152/202103112059_iWEN_i.jpg,natal-rn,Brasileira,9.0,10.0
